genome	family
SRR26416948	AGAB
SRR26416959	AGAB
SRR26416970	AGAB
SRR26416995	BUNN
SRR26416996	TOLL
SRR26416997	TOLL
SRR26416998	TOLL
SRR26416999	TOLL
SRR26417000	TOLL
SRR26417001	TOLL
SRR26417002	TOLL
SRR26417003	TOLL
SRR26417006	BUNN
SRR26417017	BUNN
SRR26417020	RYAN
SRR26417021	RYAN
SRR26417022	RYAN
SRR26417023	RYAN
SRR26417024	RYAN
SRR26417025	BUNN
SRR26417026	RYAN
SRR26417027	RYAN
SRR26417028	RYAN
SRR26417029	RYAN
SRR26417030	RYAN
SRR26417031	RYAN
SRR26417032	RYAN
SRR26417033	RYAN
SRR26417034	RYAN
SRR26417035	RYAN
SRR26417036	BUNN
SRR26417037	RYAN
SRR26417038	RYAN
SRR26417039	RYAN
SRR26417040	RYAN
SRR26417041	RYAN
SRR26417043	OSTR
SRR26417044	OSTR
SRR26417045	OSTR
SRR26417046	OSTR
SRR26417047	OSTR
SRR26417048	OSTR
SRR26417053	AGAB
SRR26417066	ORIS
SRR26417146	AGAB
SRR26417173	AGAB
SRR26417184	AGAB
SRR26417185	AGAB
SRR26417186	AGAB
SRR26417187	PONT
SRR26417188	PONT
SRR26417189	PONT
SRR26417190	PONT
SRR26417191	PONT
SRR26417192	PONT
SRR26417193	NISS
SRR26417194	NISS
SRR26417195	NISS
SRR26417196	NISS
SRR26417197	NISS
SRR26417198	NISS
SRR26417200	NISS
SRR26417201	NISS
SRR26417202	NISS
SRR26417203	NISS
SRR26417204	NISS
SRR26417205	NISS
SRR26417206	NISS
SRR26417218	AGAB
SRR26417257	AGAB
SRR26417292	AGAB
SRR26417303	AGAB
SRR26417313	ZECE
SRR26417314	ZECE
SRR26417315	ZECE
SRR26417316	ZECE
SRR26417317	ZECE
SRR26417318	ZECE
SRR26417319	ZECE
SRR26417320	ZECE
SRR26417321	ZECE
SRR26417323	ZECE
SRR26417324	ZECE
SRR26417325	ZECE
SRR26417326	ZECE
SRR26417327	ZECE
SRR26417337	TRAL
SRR26417338	TRAL
SRR26417339	BUNN
SRR26417340	TRAL
SRR26417341	TRAL
SRR26417342	TRAL
SRR26417343	TRAL
SRR26417344	TRAL
SRR26417345	TRAL
SRR26417346	TRAL
SRR26417347	TRAL
SRR26417348	TRAL
SRR26417349	TOLL
SRR26417350	BUNN
SRR26417351	TOLL
SRR26417352	TOLL
SRR26417353	TOLL
SRR26417354	TOLL
SRR26417355	TOLL
SRR26417356	TOLL
SRR26417357	TOLL
SRR26417358	TOLL
SRR26417359	TOLL
SRR26417360	TOLL
SRR26417361	BUNN
SRR26417362	PONT
SRR26417363	PONT
SRR26417364	PONT
SRR26417365	PONT
SRR26417366	PONT
SRR26417367	PONT
SRR26417368	PONT
SRR26417369	PONT
SRR26417370	OSTR
SRR26417371	OSTR
SRR26417373	OSTR
SRR26417374	OSTR
SRR26417375	OSTR
SRR26417376	OSTR
SRR26417377	OSTR
SRR26417378	OSTR
SRR26417379	OSTR
SRR26417380	OSTR
SRR26417381	OSTR
SRR26417382	OSTR
SRR26417384	OSTR
SRR26417444	BUNN
SRR26417445	VAGS
SRR26417446	VAGS
SRR26417447	VAGS
SRR26417448	VAGS
SRR26417449	VAGS
SRR26417450	VAGS
SRR26417451	VAGS
SRR26417452	VAGS
SRR26417453	VAGS
SRR26417454	VAGS
SRR26417455	BUNN
SRR26417456	VAGS
SRR26417457	VAGS
SRR26417458	VAGS
SRR26417459	VAGS
SRR26417460	VAGS
SRR26417461	VAGS
SRR26417462	VAGS
SRR26417472	BUNN
SRR26417483	BUNN
SRR26417491	BUNN
SRR26417502	BUNN
SRR26417526	NISS
SRR26417588	AGAB
SRR26417599	AGAB
SRR26417608	AGAB
SRR26417619	AGAB
SRR26417631	VAGS
SRR26417632	VAGS
SRR26417633	VAGS
SRR26417634	BUNN
SRR26417635	AGAB
SRR26417636	VAGS
SRR26417646	BUNN
SRR26417662	BUNN
SRR26417673	BUNN
SRR26417674	AGAB
SRR26417681	BUNN
SRR26417692	BUNN
